Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOARDLAYOUT1,LAYOUT,board-layout,129.5,-60.49,0.0,top
BT1,JST-PH-1x02-2.000mm,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,112.22,-52.33,0.0,top
BT2,Battery_Cell,SolderPad,118.71,-49.8,180.0,top
C1,0.1uF,C_0201_0603Metric,115.36,-58.12,-90.0,top
C2,0.47uF,C_0201_0603Metric,114.64,-58.135,-90.0,top
C3,4.7uF,C_0201_0603Metric,110.004999,-69.145699,180.0,top
C4,22uF,C_0603_1608Metric,117.5093,-67.1507,180.0,top
C5,22uF,C_0603_1608Metric,117.4843,-62.7307,180.0,top
C8,4.7uF,C_0201_0603Metric,110.009999,-68.435699,180.0,top
C9,1uF,C_0201_0603Metric,149.75,-49.88,90.0,top
C13,0.1uF,C_0201_0603Metric,132.725,-55.8,-90.0,top
C14,0.1uF,C_0201_0603Metric,126.77,-56.32875,-90.0,top
CHARGLED1,LED,LED_0201_0603Metric,114.899999,-68.710699,90.0,top
FG1,MAX17055ETB+T,21-100013A_T102A2&plus_1C_MXM,112.2686,-57.350001,0.0,top
FSR1,JST-SH-1.00mm 1x2,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,130.56,-50.39,90.0,top
IMU1,ICM-20948,QFN24_3X3X0P9_IVS,121.5784,-61.525,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,102.71,-60.45,-90.0,top
L1,4.7uH,L_0603_1608Metric,117.5093,-65.6807,0.0,top
L2,4.7uH,L_0603_1608Metric,117.4968,-64.1907,0.0,top
MCU1,ESP32-S3-WROOM-2,ESP32-S3-WROOM-2,145.17,-60.45,-90.0,top
PWLED1,SK6812MINI,2659,129.85,-56.35,0.0,top
Q3,BSS138,SOT-23,125.125,-65.05,90.0,top
QWIIC1,JST-SH-1x04 1.0mm,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,119.89,-70.895,180.0,top
R1,1k,R_0201_0603Metric,133.91,-51.01,0.0,top
R2,Ohmite_LVK12 10m,LVK12_OHM-L,112.24,-59.67,180.0,top
R3,1k,R_0201_0603Metric,115.6093,-68.725,90.0,top
R4,6.04k,R_0201_0603Metric,114.199999,-68.715699,90.0,top
R5,10k,R_0201_0603Metric,150.48,-49.89,90.0,top
R6,5k1,R_0201_0603Metric,108.59,-62.52,90.0,top
R7,5k1,R_0201_0603Metric,108.59,-58.89,-90.0,top
R8,100k,R_0201_0603Metric,112.799999,-68.715699,90.0,top
R9,232k,R_0201_0603Metric,113.499999,-68.715699,-90.0,top
R10,100k,R_0201_0603Metric,114.295,-62.675,180.0,top
R11,80.6k,R_0201_0603Metric,114.295,-61.975,0.0,top
R12,10k,R_0201_0603Metric,108.75,-56.8,90.0,top
R13,300,R_0201_0603Metric,133.075,-57.225,180.0,top
R18,200k,R_0201_0603Metric,126.05,-56.32875,-90.0,top
R19,2k2,R_0201_0603Metric,134.16,-58.22,90.0,top
R20,2k2,R_0201_0603Metric,134.16,-60.13,-90.0,top
R21,2k2,R_0201_0603Metric,122.7,-64.525,180.0,top
R23,2k2,R_0201_0603Metric,124.805,-67.35,180.0,top
SW1,JST-SH-1.00mm 1x2,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,125.325,-50.4,90.0,top
SW2,PTS810 SJM Switch,SW_SPST_PTS810,129.725,-66.125,180.0,top
SW3,PTS810 SJM Switch,SW_SPST_PTS810,129.725,-62.375,0.0,top
TH1,10k,R_0201_0603Metric,109.46,-56.78,90.0,top
TrillExtensionInput1,JST-SH 1x08 1.00mm,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,127.71,-70.895,180.0,top
U1,max8819ceti+,21-0139_T2844&plus_1_MXM,111.999999,-65.374999,0.0,top
U4,PCA9306DP,TSSOP-8_3x3mm_P0.65mm,121.975,-57.575,270.0,top
