Manufacturer,Mfg Part #,Qty,Reference(s),Description Value Pkg
Adafruit Industries LLC,2659,1,PWLED1,"Addressable Lighting Neopixel 10 LED Discrete Serial (Shift Register) Red, Green, Blue (RGB) 3.50mm L x 3.50mm W"
Kingbright,APHHS1005SURCK,3,"CHARGLED1, CHARGLED2, CHARGLED3",Red 630nm LED Indication - Discrete 1.95V 0402 (1005 Metric)
JST Sales America Inc.,B2B-PH-SM4-TBT,1,BT1,"Connector Header Surface Mount 2 position 0.079"" (2.00mm)"
JST Sales America Inc.,BM02B-SRSS-TB,2,"FSR1, SW1","Connector Header Surface Mount 2 position 0.039"" (1.00mm)"
JST Sales America Inc.,BM04B-SRSS-TB,1,"QWIIC1,TrillExtensionInput1","Connector Header Surface Mount, Right Angle 4 position 0.039"" (1.00mm)"
ANBON SEMICONDUCTOR (INT'L) LIMITED,BSS138,3,"Q1, Q2, Q3",N-Channel 50 V 220mA (Ta) 350mW (Ta) Surface Mount SOT-23
Samsung Electro-Mechanics,CL03A104KP3NNNC,4,"C1, C6, C7, C13",0.1 µF ±10% 10V Ceramic Capacitor X5R 0201 (0603 Metric)
Samsung Electro-Mechanics,CL03A105KQ3CSNC,6,"C4, C5, C9, C10, C11, C12",1 µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)
Samsung Electro-Mechanics,CL03A474KQ3NNNC,1,C2,0.47 µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)
Samsung Electro-Mechanics,CL03A475MQ5C65C,2,"C3, C8",4.7 µF ±20% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)
Samsung Electro-Mechanics,CL10A106KQ8NNNC,1,C14,10 µF ±10% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)
Panasonic Electronic Components,ERJ-1GNF1001C,4,"R1, R3, R22, R24","1 kOhms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
Panasonic Electronic Components,ERJ-1GNF1002C,2,"R5, R12","10 kOhms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
Panasonic Electronic Components,ERJ-1GNF1103C,1,R4,"110 kOhms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
Panasonic Electronic Components,ERJ-1GNF2001C,1,R20,RES SMD 2K OHM 1% 1/20W 0201
Panasonic Electronic Components,ERJ-1GNF2201C,6,"R14, R15, R16, R19, R21, R23","2.2 kOhms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
Panasonic Electronic Components,ERJ-1GNF2492C,1,R17,"24.9 kOhms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
Panasonic Electronic Components,ERJ-1GNF3000C,1,R13,"300 Ohms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
Panasonic Electronic Components,ERJ-1GNF3303C,1,R18,"330 kOhms ±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
Panasonic Electronic Components,ERJ-1GNJ512C,2,"R6, R7","5.1 kOhms ±5% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film"
Panasonic Electronic Components,ERT-JZEG103FA,2,"TH1, TH2",NTC Thermistor 10k 0201 (0603 Metric)
Espressif Systems,ESP32-S3-WROOM-2-N32R8V,1,MCU1,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount"
TDK InvenSense,ICM-20948,1,IMU1,"Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor I²C, SPI Output"
Ohmite,LVK12R010CER,1,R2,"10 mOhms ±0.25% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Corrosive, Current Sense, Moisture Resistant Thick Film"
Analog Devices Inc./Maxim Integrated,MAX17055ETB+T,1,FG1,Battery Battery Monitor IC Multi-Chemistry 10-TDFN (2.5x2)
Microchip Technology,MCP73871-2CCI/ML,1,U2,QFN-20 Battery Management ICs ROHS
onsemi,NCP167AMX180TBG,1,U4,Linear Voltage Regulator IC Positive Fixed 1 Output 700mA 4-XDFN (1x1)
onsemi,NCP167AMX330TBG,1,U3,Linear Voltage Regulator IC Positive Fixed 1 Output 700mA 4-XDFN (1x1)
Nexperia USA Inc.,"PESD5Z3.3,115",1,D2,18V Clamp 20A (8/20µs) Ipp Tvs Diode Surface Mount SOD-523
C&K,PTS810 SJM 250 SMTR LFS,2,"SW2, SW3",Tactile Switch SPST-NO Top Actuated Surface Mount
GCT,USB4105-GF-A,1,J1,"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole"
